"Количество организаций по данным государственной регистрации с 2017 г. (единица, Всего)",,,,,,,,
,,,,,,,,
,,,2017,2018,2019,2020,2021,2022
,,,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября,на 1 октября
ВСЕГО (по всем формам собственности),        Ставропольский край,    Деятельность по предоставлению продуктов питания и напитков,,,803,791,706,642
ВСЕГО (по всем формам собственности),        Ставропольский край,        Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,,,,49,39,35
ВСЕГО (по всем формам собственности),        Ставропольский край,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,,,835,815,811,783
ВСЕГО (по всем формам собственности),        Ставропольский край,    Деятельность издательская,,,96,91,107,90
ВСЕГО (по всем формам собственности),        Ставропольский край,    Деятельность в области телевизионного и радиовещания,,,67,69,64,62
ВСЕГО (по всем формам собственности),        Ставропольский край,            Деятельность информационных агентств,,,15,16,14,12
ВСЕГО (по всем формам собственности),        Ставропольский край,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ,,,572,526,462,422
ВСЕГО (по всем формам собственности),        Ставропольский край,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ,,,3300,3213,3116,2988
ВСЕГО (по всем формам собственности),        Ставропольский край,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ",,,2907,2787,2637,2438
ВСЕГО (по всем формам собственности),        Ставропольский край,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ,,,1236,1255,1192,1096
ВСЕГО (по всем формам собственности),        Ставропольский край,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ,,,1309,1293,1476,1261
ВСЕГО (по всем формам собственности),        Ставропольский край,ОБРАЗОВАНИЕ,,,2251,2266,2291,2278
ВСЕГО (по всем формам собственности),        Ставропольский край,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ,,,1515,1517,1553,1570
ВСЕГО (по всем формам собственности),        Ставропольский край,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ",,,846,873,883,861
ВСЕГО (по всем формам собственности),        Ставропольский край,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ,,,2323,2308,2182,2109
ВСЕГО (по всем формам собственности),        Ставропольский край,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ,,,3,2,2,2
ВСЕГО (по всем формам собственности),        Ставропольский край,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ,,,0,0,0,0
ВСЕГО (по всем формам собственности),        Ставропольский край,Всего по обследуемым видам экономической деятельности,49208,45257,41629,37408,35513,32804
ВСЕГО (по всем формам собственности),        Республика Башкортостан,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",,,2649,2533,2384,2283
ВСЕГО (по всем формам собственности),        Республика Башкортостан,"    Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",,,2313,2191,2070,1998
ВСЕГО (по всем формам собственности),        Республика Башкортостан,    Лесоводство и лесозаготовки,,,254,253,231,207
ВСЕГО (по всем формам собственности),        Республика Башкортостан,            Лесозаготовки,,,125,130,116,101
ВСЕГО (по всем формам собственности),        Республика Башкортостан,    Рыболовство и рыбоводство,,,82,89,83,78
ВСЕГО (по всем формам собственности),        Республика Башкортостан,        Рыболовство,,,33,32,29,25
ВСЕГО (по всем формам собственности),        Республика Башкортостан,        Рыбоводство,,,49,57,54,53
ВСЕГО (по всем формам собственности),        Республика Башкортостан,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,,,553,570,571,574
ВСЕГО (по всем формам собственности),        Республика Башкортостан,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,,,6120,6036,5855,5552
ВСЕГО (по всем формам собственности),        Республика Башкортостан,"        Переработка и консервирование рыбы, ракообразных и моллюсков",,,14,12,7,5
ВСЕГО (по всем формам собственности),        Республика Башкортостан,        Деятельность полиграфическая и предоставление услуг в этой области,,,212,200,183,165
ВСЕГО (по всем формам собственности),        Республика Башкортостан,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",,,387,380,366,351
